objectid,geoid,opportunity_value,opportunity_text,globalid,fips,access,accessibility_text,livability_value,livability_text,economic_value,economic_text,education_value,education_text,environmental_value,environmental_text,namelsad,tractid,blkarea,peropsps,votp_ind,foodscr,avgrdscr,intacsc,tranratsc,avgcrsc,cosbusc,lifeexrts,utcscr,avgnuiscr,medhmva,avgtestper,avstmort,gradrt,perbacmo,jobscrrts,medhhinc,perstrg,umrt,dslpm,ozone,pm2_5,ptraf,toxrel,ldrsk,ptsdf,pnpl,prmp,pwdis,opspczsc,vtpazsc,fodsczsc,avrdzsc,intaczsc,transczsc,avcrzsc,cosbuzsc,lifzsc,utczsc,avnuzsc,mehmvzsc,teszsc,stumozsc,grdrtzsc,baatzsc,jobzsc,mehhinzsc,stugzsc,unrtzsc,dslpmzsc,ozonezsc,pm2_5zsc,ptrafzsc,toxrezsc,ldrskzsc,ptsdfzsc,pnplzsc,prmpzsc,pwdiszsc,modifier,Shape__Area,Shape__Length
11,530530620003,-0.63605764,Very Low,52445d77-b5ac-4d47-8603-f717bf0b9eb0,530530620003,-0.07077868,Moderate,-0.20815081,Low,-1.36336296,Very Low,-0.61071359,Very Low,-0.92728217,Very Low,Block Group 3,53053062000,0.1127156,1.37368957,52.18295218,0.20176336,60.32596021,0.72789116,7.00523224,290.125,0.4379562,75.7,0.11,6.5,141700,0.33844115,0.11182743,0.84477617,0.16694772,2.20833333,48043,0.66361789,0.16923077,1.36291946,32.89505163,6.83725383,403.31500373,0.67392864,93.12057669,4.49714278,0.47269539,2.48594831,0.00077159,1.04726173,-0.50366978,-0.27878675,0.2314481,-0.80128804,-0.11963735,-0.22732109,-0.08201437,-0.140505,-0.69866807,-0.39002851,-1.10909575,-0.27977749,0.01339338,-1.34865664,-0.80102685,-0.4839933,-0.67206743,2.0079063,2.2894848,1.45190479,0.6008277,1.22271185,-0.39613995,1.62567363,0.9390315,1.04266812,0.59794698,1.42848392,0.89114596,,3144136.41796875,7877.16849742799
12,530530620004,-0.54880926,Very Low,47b6bbf3-cd91-4859-81f6-6780c2b66c71,530530620004,-0.17515139,Low,-0.13671135,Moderate,-0.77077834,Very Low,-0.45795147,Low,-1.20345375,Very Low,Block Group 4,53053062000,0.31760727,1.27560034,55.84415584,0.4405155,50.06231808,0.72483221,5.12120211,423.425,0.56439394,75.7,0.25,10,200000,0.34959493,0.11587879,0.84477622,0.26206244,2.26470588,39762,0.54916388,0.07507508,1.36291946,32.89505163,6.83725383,2195.47096996,0.67392864,91.2662819,4.74294299,0.51692495,2.56650694,0.00073013,0.78176654,-0.16515907,0.08611341,-0.62516992,-0.82699408,-0.3014652,-0.02973891,0.46602397,-0.140505,0.32044175,-0.03186059,-0.59578035,-0.21369558,0.06933808,-1.34865542,-0.20011679,-0.37053195,-0.97329992,1.34859383,0.39068768,1.45190479,0.6008277,1.22271185,1.53759306,1.62567363,0.86531553,1.16968975,0.81415479,1.50444646,0.82077769,,8843649.36645508,15190.3819196086
13,530539400072,-0.42598261,Very Low,36ea6ec6-04b8-4616-88b8-8f521d440b6a,530539400072,-0.05488481,Moderate,-0.30983647,Low,0.26817127,High,-0.79753243,Very Low,-1.23583063,Very Low,Block Group 2,53053940007,0.45626911,1.10735004,44.56140351,0.34733344,67.14356506,0.76285714,11.51881388,450,0.55737705,76.3,0.27,19.7,171100,0.12624248,0.09195071,0.85128831,0.1779661,3.6122449,53529,0.39606501,0.07205624,1.35859592,32.91849346,6.83956366,984.45044918,0.6928099,84.13859159,5.44023728,0.25891002,3.85776068,0.00261864,0.32636848,-1.20834947,-0.05630269,0.800455,-0.50744881,0.31596865,0.00965154,0.43560959,-0.0687735,0.46602886,0.96077621,-0.85023687,-1.53697445,-0.26108207,-1.18282174,-0.7314156,2.34166761,-0.47250682,0.46666759,0.32980811,1.43545064,0.69114082,1.25196005,0.23090413,1.96581525,0.58196004,1.53002896,-0.44710205,2.72203074,3,,11423993.744873,17928.3462008075
14,530530602001,-0.3908471,Very Low,78d63e98-23bd-4c29-82bc-e7102d4abd6b,530530602001,0.54972606,Very High,-1.22224455,Very Low,-0.10260094,Moderate,0.19748991,High,-1.37660599,Very Low,Block Group 1,53053060200,9.61848859,0.13774496,60.54945055,4.18399357,46.36119533,0.94511149,31.41793364,3161.275,0.32872928,0,0.04,30.5,425000,0.36886443,0.08720879,0.92461688,0.2744903,3.15507916,91875,0.53682896,0.12893082,1.84103611,32.71779412,6.86876421,916.15182855,0.66279245,37.67054637,8.42322242,0.66022285,4.76827167,0.00151693,-2.29803261,0.26988711,3,-0.93407084,1.02413896,2.23643375,3,-0.55545325,-3,-1.20822298,2.06598007,1.3852825,-0.09953105,-0.32656266,0.68452882,-0.12160079,1.4215275,0.9223804,1.27753853,1.47677312,3,-0.08208316,1.62171067,0.15721005,1.42505779,-1.26533906,3,1.51463921,3,2.15599901,,168034311.407837,211748.09527676
15,530530631001,-0.21004271,Low,02cd79cb-c341-4af8-9440-33f4915cae5c,530530631001,0.07337718,High,-0.43819579,Very Low,-0.17157146,Low,-0.3036701,Low,-0.21015338,Low,Block Group 1,53053063100,0.15501898,1,49.45904173,1.10400401,48.25901839,0.85574572,14.07160349,449.95,0.47651007,78.6,0.12,22.6,170300,0.45217849,0.14586139,0.90728491,0.07711757,2.3,63015,0.38762511,0.04783259,1.03864254,32.99726013,6.7892653,397.97309722,0.62076985,85.50454511,1.90195516,0.2983318,0.22864946,0,0.03580734,-0.75551943,1.10016534,-0.77567585,0.27314716,0.56233851,0.00957743,0.08509551,0.20619726,-0.62587451,1.25754391,-0.85728065,0.39407324,0.48336436,0.2431611,-1.36855038,-0.29949527,-0.12744084,0.41804954,-0.15869981,0.21780008,0.99460108,0.6150593,-0.40190385,0.66803044,0.6362624,-0.29844117,-0.25439616,-0.70003002,-0.41826844,,4319099.71435547,8539.89698888719
16,530530612003,0.0280888,Moderate,389b8831-ff2c-4e87-8ae8-d1a4968d22e1,530530612003,0.02458174,Moderate,0.10768495,Moderate,0.39682495,High,-0.30718603,Low,-0.0814616,Moderate,Block Group 3,53053061200,0.10433549,1.3325495,64.9321267,0.06855026,60.2967361,0.73615635,3.28873902,167.9,0.16901408,76.7,0.15,8.9,185200,0.45550004,0.10230001,0.85625006,0.18227425,2.42346939,72457,0.26315789,0,0.9636427,32.63809869,6.76307678,432.25260698,0.56999008,94.75447762,3.88061406,0.69233378,0.77004647,0,0.93590914,0.67510434,-0.48238486,0.22900902,-0.73183087,-0.47831631,-0.4084875,-1.24773116,-0.0209525,-0.40749384,-0.14442765,-0.72609026,0.41375221,-0.11816969,-1.05646816,-0.70419785,-0.05098772,0.21602458,-0.29894406,-1.12331887,-0.06762773,-0.3891216,0.28344827,-0.36491633,-0.24675547,1.0039859,0.72406596,1.67160739,-0.18952116,-0.41826844,,2908565.33306885,7491.50830882427
17,530530610011,-0.03333558,Moderate,da1190e9-377d-403b-8a10-48262ba3ef13,530530610011,-0.15810356,Low,-0.0508713,Moderate,-0.87886111,Very Low,-0.01668472,Moderate,0.93784279,Very High,Block Group 1,53053061001,0.16242892,1.12157684,63.04347826,0.02761532,53.14649135,0.7920354,1.62355703,305.65,0.61956522,81.2,0.14,1.5,183300,0.42950004,0.10810001,0.85625009,0.40326087,1.67346939,51389,0.32204611,0.12335329,0.58075704,32.41276144,6.57947705,1718.69454654,0.4978537,63.79748861,0.18912426,0.1814906,0.20697413,0,0.36487573,0.50048206,-0.54494834,-0.36776048,-0.26224721,-0.63902311,-0.20430936,0.70516124,0.51703377,-0.48028739,-0.90169696,-0.74281924,0.25971202,-0.03807821,-1.05646727,0.69193817,-1.56051705,-0.55035219,0.04028159,1.36429361,-1.52478046,-1.25726678,-2.04137508,1.02315217,-1.54627571,-0.22668386,-1.18357697,-0.82555209,-0.72046872,-0.41826844,,4578805.23498535,9352.83664046186
18,530530605004,0.6900659,Very High,41775b21-2fee-4089-946c-d5ec3b435447,530530605004,0.70644817,Very High,0.22788403,High,0.92853497,Very High,1.11232008,Very High,0.47514226,High,Block Group 4,53053060500,0.11897903,0.96807324,68.25396825,1.09240875,52.21142153,0.96470588,23.59680449,154.6,0.675,81.3,0.21,7.3,383300,0.62250004,0.04400001,0.92375374,0.52488688,2.39275766,111719,0.13114754,0,0.78480849,32.50653464,6.72018852,502.39940573,0.533126,96.67274319,1.52585296,0.26987925,0.23398252,0,-0.05060786,0.98223802,1.08244356,-0.44580272,1.18880185,1.48161616,-0.42820125,0.94544066,0.52898902,0.02926751,-0.30816156,1.01812552,1.40316413,-0.92322782,0.66254871,1.46033967,-0.11280139,1.64423253,-1.05938989,-1.12331887,-0.74821932,-0.89599161,-0.2596223,-0.28922806,-0.91085344,1.08024498,-0.49279867,-0.39348102,-0.69500123,-0.41826844,,3323643.36425781,7309.00981143982
19,530530620001,-0.44502947,Very Low,abe8d5bc-e0c8-4776-880c-092a65946929,530530620001,-0.12233414,Low,-0.19970869,Low,-0.03205994,Moderate,-0.63203219,Very Low,-1.23901241,Very Low,Block Group 1,53053062000,0.13948109,1.64474749,55.09761388,0.12398693,54.74070279,0.70652174,1.32831252,452.075,0.45933014,75.7,0.2,14,198000,0.28700002,0.09293334,0.8447762,0.1603928,1.57142857,63171,0.2046285,0,1.36291946,32.89505163,6.83725383,1729.09404554,0.67392864,87.19675397,5.68707428,0.51537437,3.27091926,0.00105838,1.78092609,-0.23418349,-0.39765744,-0.23470535,-0.9808675,-0.66751717,0.01272718,0.01062995,-0.140505,-0.04352605,0.37747417,-0.6133898,-0.58454678,-0.24751299,-1.34865581,-0.84243916,-1.7658952,-0.12176613,-0.63610271,-1.12331887,1.45190479,0.6008277,1.22271185,1.03437321,1.62567363,0.70353478,1.65758636,0.80657506,2.16867018,1.37783735,,3893301.00091553,8611.69718017456
20,530539400071,-0.61041521,Very Low,5f86d125-b68f-4c47-b2e1-adbb7534e96b,530539400071,-0.19613939,Low,-0.38291637,Very Low,-0.31202104,Low,-0.77900846,Very Low,-1.38199078,Very Low,Block Group 1,53053940007,0.22691331,1.4738575,48.91041162,0.15985619,53.02610872,0.7195122,7.24363297,374.275,0.38686131,76.3,0.19,24.6,147700,0.1912839,0.0960272,0.84477621,0.16385911,3.28820375,45167,0.52915767,0.10169492,1.35859592,32.91849346,6.83956366,1838.36439935,0.6928099,81.70258703,6.05114513,0.48396314,3.76076416,0.00149697,1.31838326,-0.80624514,-0.34283616,-0.37780778,-0.87170126,-0.09662928,-0.10259085,-0.30348273,-0.0687735,-0.1163196,1.46221129,-1.0562674,-1.15162862,-0.20479024,-1.34865557,-0.82053989,1.68946813,-0.77668579,1.23334802,0.92751847,1.43545064,0.69114082,1.25196005,1.15227572,1.96581525,0.48511867,1.84572644,0.65302722,2.63056812,2.12213633,,6319207.60949707,12134.3839055418
21,530530624003,-0.20868141,Low,c8f7fabd-1877-40f7-9261-845c137507f4,530530624003,0.05016296,Moderate,-0.49108996,Very Low,0.18431707,High,-0.27464961,Moderate,-0.51214748,Low,Block Group 3,53053062400,0.13840291,0.32732517,61.79966044,0.71495988,54.35761735,0.96067416,11.42165789,184.1,1,74,0.1,3,198400,0.45798302,0.12104671,0.84477622,0.28776978,2.06866953,64146,0.23427152,0,1.3071072,32.95791176,6.81412049,597.44371051,0.64869464,95.26078625,1.99225479,0.29541402,0.55042999,0,-1.78490152,0.38548009,0.50556431,-0.2666782,1.15492095,0.30659212,-0.38447526,2.35413767,-0.34374426,-0.77146163,-0.74819643,-0.60986791,0.4284629,0.14070137,-1.34865548,-0.03770448,-0.76509545,-0.0862992,-0.46534404,-1.12331887,1.23949939,0.84300567,0.92978705,-0.18667543,1.17108896,1.02411378,-0.25177724,-0.26865921,-0.39660793,-0.41826844,,3861305.29180908,7860.41008805595
22,530530606006,0.07218171,High,f6c50ac5-7cc7-4e4a-a8d0-9bed8a3c624b,530530606006,0.05524379,High,-0.07033354,Moderate,-0.35268684,Low,0.84709221,Very High,-0.11840708,Moderate,Block Group 6,53053060600,0.10190299,0.84128894,68.10344828,0.05346775,51.43704467,0.96601942,3.81986021,275.225,0.89932886,81.6,0.18,6.9,326900,0.48150006,0.08490001,0.92375377,0.57858377,2.03809524,68462,0.23858921,0.1100141,1.02815258,32.57464118,6.76932432,251.01421946,0.57972097,95.93882772,3.8857562,0.57552529,1.48503483,0.00016587,-0.39377113,0.96832111,-0.50543642,-0.51043331,1.19984024,-0.42705777,-0.24940642,1.91778341,0.56485477,-0.18911316,-0.34909503,0.5215391,0.56779249,-0.35844434,0.66254935,1.79958264,-0.8266325,0.0707011,-0.44047199,1.09528796,0.17787831,-0.63360109,0.36255748,-0.56047221,-0.07145576,1.05106877,0.72672325,1.10061133,0.48467522,-0.1367858,,2840276.71813965,7265.35747068393
23,530530613002,-0.32020009,Low,0270bb9c-658c-476a-bc5e-3c14acfa9995,530530613002,0.01833325,Moderate,-0.66309677,Very Low,-0.73636043,Very Low,0.28089533,High,-0.50077185,Low,Block Group 2,53053061300,0.0981677,1.3333,56.92041522,0.24265251,58.49285879,0.76363636,6.96466324,537.825,0.4491018,75.9,0.15,41.8,228100,0.44100004,0.11300002,0.92375378,0.31950207,2.42816901,60100,0.49547101,0.13658537,1.1229791,32.66605229,6.79802896,539.75895017,0.60281136,97.86739376,5.14339279,0.648073,2.23133154,0.00036766,0.93794049,-0.06564936,-0.21629325,0.07845488,-0.50090057,-0.12355267,0.139829,-0.03370433,-0.1165945,-0.40749384,3,-0.34836761,0.32784519,0.02958544,0.6625497,0.16277188,-0.04152876,-0.23347788,1.039296,1.63113908,0.5387608,-0.28142623,0.72602877,-0.24891718,0.34451232,1.12773733,1.3766293,1.45524701,1.18839371,0.20565347,,2739271.94573975,6642.43584559821
24,530530609042,0.53864021,Very High,4c4f10bb-f555-4a96-992a-c3611a9dd485,530530609042,0.2931758,Very High,0.35324948,High,0.31058027,High,0.62723243,High,1.10896309,Very High,Block Group 2,53053060904,0.2397463,1.10202797,60.20128088,0.17052647,75.93015923,0.90460157,1.18256135,255.725,0.27659574,79.3,0.19,3.9,293800,0.60492912,0.07332553,0.95017804,0.1918239,2.94444444,66531,0.18472064,0.08081792,0.68459718,32.38869935,6.60175546,224.98029222,0.5078403,47.05207552,0.19815485,0.14946813,0.14887694,0,0.3119634,0.23769574,-0.32652808,1.53379653,0.68371087,-0.68158363,-0.27831004,-0.78142359,0.28988401,-0.1163196,-0.65609611,0.23010274,1.29906306,-0.51827505,1.33545723,-0.64386563,0.99758178,0.00045838,-0.75078198,0.50650107,-1.12959473,-1.34996955,-1.75927564,-0.58856277,-1.36636953,-0.89238405,-1.17891025,-0.98208785,-0.77525131,-0.41826844,,6693594.32458496,11337.4345648552
25,530539400111,0.60516144,Very High,ae98d3d2-19cc-4448-84b3-ddd886674fef,530539400111,0.02454512,Moderate,1.15348293,Very High,0.82319648,Very High,0.9214798,Very High,0.10310287,High,Block Group 1,53053940011,0.73618067,0.64517546,69.01554404,0.08612292,57.71142715,0.97090909,0.16866211,187.925,0.0619469,83.7,0.56,6.8,390100,0.56224284,0.04882805,0.92375377,0.47111913,2.49019608,112750,0.1390411,0.03022339,1.09330135,32.48291765,6.76679536,41.30404299,0.59799482,31.770428,3.16259827,0.30657443,2.30780194,0.00028961,-0.92458563,1.05265244,-0.45552743,0.01323549,1.24093097,-0.7794351,-0.3788057,-1.71180876,0.81591503,2.57704205,-0.3593284,1.07799764,1.04616296,-0.85655793,0.66254927,1.12064904,0.08331347,1.68173654,-1.01391905,-0.51381684,0.42581583,-0.98697958,0.33053462,-0.78674911,0.25774337,-1.49989344,0.35301855,-0.21410364,1.26050127,0.07320405,,20492373.9144897,34086.4986978938
26,530530629001,-0.31264432,Low,f13182d4-5270-48ae-9877-ea88b812d5fa,530530629001,-0.44950366,Very Low,-0.47243997,Very Low,-0.03293168,Moderate,-0.64325475,Very Low,0.03490847,Moderate,Block Group 1,53053062900,0.14589041,1,36.80981595,0.3958262,44.66734339,0.88487973,5.46667533,697.3,0.40465116,75.6,0.13,26.3,228700,0.36083594,0.20374428,0.85625008,0.28,2.5070922,49583,0.34885556,0.0278481,0.93842587,32.91086405,6.75334672,551.85412028,0.56308554,27.27660901,3.32127735,0.6377098,0.5794964,0,0.03580734,-1.9250524,0.0178119,-1.07544211,0.51797689,-0.26812356,0.37620873,-0.22637348,-0.15246025,-0.55308095,1.63617857,-0.34308478,-0.14709682,1.28266257,-1.05646766,-0.08679195,0.11732039,-0.61604787,0.19471749,-0.56171826,-0.16359573,0.66174738,0.16024189,-0.23586651,-0.37113929,-1.67854154,0.43501878,1.40458847,-0.36919983,-0.41826844,,4064819.17218018,8499.83719130654
